Aberdeen Group,http:www.aberdeen.com/summary/report/research_previews/5462-RP-electronic-health-management.asp,"Aberdeen conducts primary research studies from a pool of over 500,000 panel participants. The results of each research survey are indexed and tabulated using a proprietary analytical framework which provides a solid basis for deriving fact-based analysis and findings. Aberdeen......s research provides specific insight by industry sector, company size, and geography, as well as by job role, business process and technology.",,false,,,"undergrad-edu: 
last-name: Spinks
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Healthcare IT Champion a.k.a. Sr. Research Associate
first-name: Melissa
email: 

undergrad-edu: 
last-name: Spinks
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Healthcare IT Champion a.k.a. Sr. Research Associate
first-name: Melissa
email: 
",,
OnTrack Technology,blog.ontracktechnology.com,OnTrack Technology offers a compliment of innovative software solutions that employ virtual reality based visualization and interaction to solve very real challenges in the Health and Wellness industries. ,,false,,,"undergrad-edu: 
last-name: Bauer
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Brian
email: 

undergrad-edu: 
last-name: Bauer
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Brian
email: 

undergrad-edu: 
last-name: Bauer
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Brian
email: 

undergrad-edu: 
last-name: Bauer
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Brian
email: 

undergrad-edu: 
last-name: Bauer
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Brian
email: 

undergrad-edu: 
last-name: Bauer
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Brian
email: 
",,
Onzo Ltd,www.onzo.com,"Onzo - based in London UK -  is a leading supplier of domestic energy management technologies and software applications to energy utilities globally. More recently Onzo has taken the role of leading a global consortium of technology companies under 'Project Hydra'. Partners include Philips Applied Technologies and we are developing  a revolutionary telehealth offering for utility consumers. Hydra is funded by a UK government technology grant. However, the slim grant budget is fully allocated leaving none available for attending Health 2.0.",,false,,,"undergrad-edu: 
last-name: Tierney
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: R&D Director
first-name: Neil
email: 

undergrad-edu: 
last-name: Tierney
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: R&D Director
first-name: Neil
email: 

undergrad-edu: 
last-name: Tierney
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: R&D Director
first-name: Neil
email: 

undergrad-edu: 
last-name: Tierney
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: R&D Director
first-name: Neil
email: 

undergrad-edu: 
last-name: Tierney
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: R&D Director
first-name: Neil
email: 

undergrad-edu: 
last-name: Tierney
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: R&D Director
first-name: Neil
email: 
",,
PatientAssistance.com,www.patientassistance.com,PatientAssistance.com is a free resource designed to help connect patients who can’t afford their prescription medications with patient assistance programs. Their  database features over 1000 programs that help make that possible.,,false,,,"undergrad-edu: 
last-name: Bowden
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President
first-name: Rex
email: 

undergrad-edu: 
last-name: Bowden
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President
first-name: Rex
email: 

undergrad-edu: 
last-name: Bowden
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President
first-name: Rex
email: 

undergrad-edu: 
last-name: Bowden
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President
first-name: Rex
email: 

undergrad-edu: 
last-name: Bowden
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President
first-name: Rex
email: 
",,
3banana,http:3banana.com,"Health 2.0 Makes Information Therapy PossibleHealth 2.0 for the first time makes Information Therapy practical and possible. Health 2.0 is about individuals creating and sharing more of themselves online in a way that improves their own health, the health of others they are connected to, and the health of the community as a whole. Information therapy is based on the idea that what we think and believe -- the content of our minds -- can influence our health, either directly or through our behavior, and that we can change and influence the content of our minds and therefore also our health through information media. Personalized health, however, is infinitely diverse, and if we had to design the right information therapy for the right person at the right time, we would never finish the job. So how does Health 2.0 make information therapy possible? The needs in health care are so diverse, so complex, so personalized, and so rapidly changing, that information therapy derived from a scripted template cannot fully address the diversity of needs. Without Health 2.0, the greater the number and diversity of people with health needs, the more infinitely complex the situation becomes. Health 2.0, on the other hand, changes the information therapy equation. Because the participants also are co-creators, selectors, navigators, recommenders, and reviewers of content, the more people involved the greater their diversity, the more possible it is to meet everyone’s needs. While some traditionalists might argue about evidence-based information, the reality is that rich and diverse Health 2.0 communities are also enabling an acceleration of evidence gathering and controlled research to generate new knowledge about how information therapy works and what works for whom, so that we may truly learn how the right information can be given to the right person at the right time to improve health.",,false,,,"undergrad-edu: 
last-name: Brown
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Steve
email: 
",,
911ICE,www.911ice.org,"911ICE.org connects family, friends, and doctors with 911 during an emergency and links the emergency professionals to the individuals critical personal medical profile.",,false,,,,,
Alijor,,"Bought by Healthgrades--originally funded by Rick Scott and run by his daughter--Website not functionalThe Sunnyvale-based company......s online health care directory helps connect consumers seeking medical services and health care providers. Patients can search for and rate physicians, dentists and dermatologists, along with more nontraditional specialists such as acupuncturists, weight-loss doctors and herbal medicine practitioners. They can also evaluate and rank providers based on criteria such as fees for certain services.",,false,,,"undergrad-edu: 
last-name: 
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: 
email: 

undergrad-edu: 
last-name: 
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: 
email: 
",,
Backbase,www.backbase.com,"Health Portal, created by Backbase provides applications, and experience to every user, regardless of their circumstances or need.  ",,false,,,"undergrad-edu: 
last-name: Singh
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Vice President of Strategic Accounts
first-name: David
email: 
",,
Organization,web address,"Technology or service you'd like to demonstrate, or topic on you'd like to be a commentator (Be concise! )",,false,,,"undergrad-edu: 
last-name: Last Name
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Title
first-name: First Name
email: 

undergrad-edu: 
last-name: Last Name
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Title
first-name: First Name
email: 

undergrad-edu: 
last-name: Last Name
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Title
first-name: First Name
email: 

undergrad-edu: 
last-name: Last Name
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Title
first-name: First Name
email: 

undergrad-edu: 
last-name: Last Name
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Title
first-name: First Name
email: 

undergrad-edu: 
last-name: Last Name
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Title
first-name: First Name
email: 

undergrad-edu: 
last-name: Last Name
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Title
first-name: First Name
email: 

undergrad-edu: 
last-name: Last Name
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Title
first-name: First Name
email: 

undergrad-edu: 
last-name: Last
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Title
first-name: Name
email: 

undergrad-edu: 
last-name: Last Name
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Title
first-name: First Name
email: 

undergrad-edu: 
last-name: Last Name
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Title
first-name: First Name
email: 

undergrad-edu: 
last-name: Last Name
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Title
first-name: First Name
email: 
",,
PointOne Systems,www.pointonesystems.com,"PointOne has developed ClearSense (www.clearsense.com) a consumer oriented health reporting tool that allows consumers to manager their health much like they manager their finances.  ClearSense provides health risk assessments and other health reports based on consumer input, either via questionnaires or links to Personal Health Records.  The tool is a perfect fit in the Health and Wellness industry as employers, insurers and health websites seek to increase consumer awareness about their own health.  The underlying technology is called RedBox Technology and it is the only health analytics technology registered with the FDA and in compliance with all US regulatory requirements.  This evidence-based, best practices medical analytics technology has the ability to grow in ways that will allow consumers to analyze their own health, receive relevant health information and guidance and eventually include genetic testing analysis.",,false,,,"undergrad-edu: 
last-name: Pothier
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President & CEO
first-name: Robert
email: 

undergrad-edu: 
last-name: Pothier
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President & CEO
first-name: Robert
email: 

undergrad-edu: 
last-name: Pothier
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President & CEO
first-name: Robert
email: 

undergrad-edu: 
last-name: Pothier
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President & CEO
first-name: Robert
email: 

undergrad-edu: 
last-name: Pothier
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President & CEO
first-name: Robert
email: 
",,
